,name,yearmin,part_num,decade,5year
76,Baseplates,1998,11,1990,1995
77,Baseplates,1999,6,1990,1995
78,Baseplates,2000,12,2000,2000
79,Baseplates,2001,2,2000,2000
80,Baseplates,2002,9,2000,2000
81,Baseplates,2003,9,2000,2000
82,Baseplates,2004,6,2000,2000
83,Baseplates,2005,6,2000,2005
84,Baseplates,2006,2,2000,2005
85,Baseplates,2007,4,2000,2005
86,Baseplates,2008,1,2000,2005
87,Baseplates,2009,1,2000,2005
88,Baseplates,2012,1,2010,2010
89,Baseplates,2017,10,2010,2015
90,Baseplates,2018,6,2010,2015
91,"Belville, Scala and Fabuland",1979,23,1970,1975
92,"Belville, Scala and Fabuland",1980,12,1980,1980
93,"Belville, Scala and Fabuland",1981,3,1980,1980
94,"Belville, Scala and Fabuland",1982,22,1980,1980
95,"Belville, Scala and Fabuland",1983,7,1980,1980
96,"Belville, Scala and Fabuland",1984,11,1980,1980
97,"Belville, Scala and Fabuland",1985,10,1980,1985
98,"Belville, Scala and Fabuland",1986,4,1980,1985
99,"Belville, Scala and Fabuland",1987,8,1980,1985
100,"Belville, Scala and Fabuland",1988,8,1980,1985
101,"Belville, Scala and Fabuland",1994,26,1990,1990
102,"Belville, Scala and Fabuland",1995,1,1990,1995
103,"Belville, Scala and Fabuland",1996,13,1990,1995
104,"Belville, Scala and Fabuland",1997,170,1990,1995
105,"Belville, Scala and Fabuland",1998,66,1990,1995
106,"Belville, Scala and Fabuland",1999,72,1990,1995
107,"Belville, Scala and Fabuland",2000,78,2000,2000
108,"Belville, Scala and Fabuland",2001,30,2000,2000
109,"Belville, Scala and Fabuland",2002,9,2000,2000
110,"Belville, Scala and Fabuland",2003,25,2000,2000
111,"Belville, Scala and Fabuland",2004,16,2000,2000
112,"Belville, Scala and Fabuland",2005,12,2000,2005
113,"Belville, Scala and Fabuland",2006,6,2000,2005
114,"Belville, Scala and Fabuland",2007,8,2000,2005
115,"Belville, Scala and Fabuland",2008,7,2000,2005
116,Bricks,1949,4,1940,1945
117,Bricks,1953,4,1950,1950
118,Bricks,1954,13,1950,1950
119,Bricks,1955,27,1950,1955
120,Bricks,1956,5,1950,1955
121,Bricks,1957,21,1950,1955
122,Bricks,1958,104,1950,1955
123,Bricks,1959,1,1950,1955
124,Bricks,1960,10,1960,1960
125,Bricks,1963,4,1960,1960
126,Bricks,1965,160,1960,1965
127,Bricks,1966,38,1960,1965
128,Bricks,1967,10,1960,1965
129,Bricks,1968,6,1960,1965
130,Bricks,1969,69,1960,1965
131,Bricks,1970,9,1970,1970
132,Bricks,1971,16,1970,1970
133,Bricks,1972,9,1970,1970
134,Bricks,1973,4,1970,1970
135,Bricks,1974,1,1970,1970
136,Bricks,1975,2,1970,1975
137,Bricks,1976,7,1970,1975
